Extracted:,"United Nations High Commissioner for Refugees"
"Date extracted:","10/04/2021 21:53 UTC"
"Last updated:","08 December 2020"
"Some data presented may differ from statistics published previously due to retroactive changes or the inclusion of previously unavailable data."

"Data table contains the following:","Population figures"
"Content type","End year stock population totals"
"Data quick link",https://www.unhcr.org/refugee-statistics/download/?url=H02MqJ
"Data definitions",https://www.unhcr.org/refugee-statistics/methodology/
"Usage licence",https://creativecommons.org/licenses/by/4.0/
"Population types included","REF,ROC,ASY,IDP,IOC,VDA,OOC,STA"
Years:
Origin:
"Country of asylum:",all
Year,"Country of origin","Country of origin (ISO)","Country of asylum","Country of asylum (ISO)","Refugees under UNHCR's mandate",Asylum-seekers,"IDPs of concern to UNHCR","Venezuelans displaced abroad","Stateless persons","Others of concern"
1957,-,-,Netherlands,NLD,13500,0,0,,0,0
1957,-,-,Norway,NOR,3400,0,0,,0,0
1957,-,-,Sweden,SWE,33000,0,0,,0,0
1957,-,-,Switzerland,CHE,20500,0,0,,0,0
1957,-,-,Turkey,TUR,2200,0,0,,0,0
1957,-,-,"United States of America",USA,500000,0,0,,0,0
1957,-,-,"Unknown ",,159700,0,0,,0,0
1958,-,-,Austria,AUT,53000,0,0,,0,0
1958,-,-,Belgium,BEL,63000,0,0,,0,0
1958,-,-,Canada,CAN,46908,0,0,,0,0
1958,-,-,Denmark,DNK,2500,0,0,,0,0
1958,-,-,France,FRA,381152,0,0,,0,0
1958,-,-,"United Kingdom of Great Britain and Northern Ireland",GBR,175000,0,0,,0,0
1958,-,-,Germany,DEU,212000,0,0,,0,0
1958,-,-,Greece,GRC,15700,0,0,,0,0
1958,-,-,Italy,ITA,21000,0,0,,0,0
1958,-,-,Luxembourg,LUX,1900,0,0,,0,0
1958,-,-,Morocco,MAR,2700,0,0,,0,0
1958,-,-,Netherlands,NLD,13000,0,0,,0,0
1958,-,-,Norway,NOR,3300,0,0,,0,0
1958,-,-,Sweden,SWE,31000,0,0,,0,0
1958,-,-,Switzerland,CHE,20000,0,0,,0,0
1958,-,-,Tunisia,TUN,1000,0,0,,0,0
1958,-,-,Turkey,TUR,2150,0,0,,0,0
1958,-,-,"United States of America",USA,500000,0,0,,0,0
1958,-,-,"Unknown ",,153000,0,0,,0,0
1959,-,-,Austria,AUT,44000,0,0,,0,0
1959,-,-,Belgium,BEL,58000,0,0,,0,0
1959,-,-,Canada,CAN,47934,0,0,,0,0
