Country_ISO,Sum of Refugees under UNHCR's mandate,"Literacy rate, adult total (% of people ages 15 and above)","Literacy rate, youth total (% of people ages 15-24)","Mortality rate, infant (per 1,000 live births)","Cause of death, by injury (% of total)","Death rate, crude (per 1,000 people)","Hospital beds (per 1,000 people)",GDP per capita (current US$)
TUR,2907139,92.57604276,98.11352891,17.635,5.494817392,5.795736842,2.573684211,8861.517107
TUV,55,0,0,26.68,,,5.6,2797.982919
TZA,28276,73.30485535,81.16292763,51.705,9.186510275,9.795105263,0.9,726.4580943
UGA,2772221,71.89064941,85.06416626,54.83,9.893521484,10.69473684,0.74,583.2465788
UKR,1792466,99.70238113,99.88731003,10.69,6.025593412,15.34736842,8.794666667,2478.264856
URY,11496,98.31489035,98.88957977,10.13,7.139678046,9.376684211,2.419166665,10933.82615
USA,38613,0,0,6.315,6.226456484,8.278578947,3.098888889,49393.3557
UZB,393892,99.76354726,99.9790357,31.58,6.703201353,5.059526669,4.817333333,1366.074342
VAT,0,,,,,,,
VCT,17796,0,0,17.155,7.188443081,7.938368421,3.591538462,5956.107896
VEN,346157,95.35816447,98.24295298,16.885,20.36888075,5.704736842,0.91888889,8759.732396
VNM,16266804,92.89231873,96.77875773,18.83,8.966785016,5.854789474,2.594166675,1370.858276
VUT,0,83.53543599,94.46070862,23.865,9.346623614,5.594105263,3.149999976,2491.946027
WSM,10,99.03451538,99.17956924,15.495,8.323292707,5.803842105,1.76799999,3225.755904
XXA,1103803,,,,,,,
YEM,566045,54.09999847,77,49.695,14.45666201,6.775421053,0.667222222,1043.391946
ZAF,368711,92.1094408,98.17669678,37.235,12.14628812,11.90668421,2.645,5555.479278
ZMB,58658,75.00798607,78.48614502,58.09,7.567781811,11.42815789,1.966666667,1152.794442
ZWE,807033,86.13806534,90.67941284,48.92,9.848345653,13.67310526,2.35,946.2438284
